id,text
1,I'm so excited about the new product launch!
2,Terrible customer service today.
3,Can't wait for the holidays!
4,The new update completely broke my app.
5,Great experience shopping online.
6,I donâ€™t recommend this at all.
7,Such a helpful support team!
8,This product is not worth the price.
9,"Amazing quality, will buy again."
10,Waste of money!
11,Totally satisfied with the features.
12,Battery life could be better.
13,Five stars from me!
14,Never using this app again.
15,Absolutely love the UI design.
16,Disappointed by the delays.
17,Quick delivery and excellent packaging.
18,The item doesn't match the description.
19,Phenomenal performance upgrade.
20,Too expensive for what it offers.
